theme,sub_theme,topic,geography_type,geography,geography_code,metric,metric_group,stratum,sex,age,year,month,epiweek,date,value,in_reporting_delay_period,rolling_7_week_avg,season_year,season_label,week
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,6,27,2015-06-29,0.0,False,,2015,2014-15,27
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,7,28,2015-07-06,0.0,False,,2015,2014-15,28
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,7,29,2015-07-13,0.0,False,,2015,2014-15,29
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,7,30,2015-07-20,0.0,False,,2015,2014-15,30
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,7,31,2015-07-27,0.0,False,,2015,2014-15,31
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,8,32,2015-08-03,0.0,False,,2015,2014-15,32
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,8,33,2015-08-10,0.0,False,0.0,2015,2014-15,33
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,8,34,2015-08-17,0.0,False,0.0,2015,2014-15,34
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,8,35,2015-08-24,0.0,False,0.0,2015,2014-15,35
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,8,36,2015-08-31,0.0,False,0.0,2015,2014-15,36
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,9,37,2015-09-07,0.0,False,0.0,2015,2014-15,37
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,9,38,2015-09-14,0.0,False,0.0,2015,2014-15,38
infectious_disease,respiratory,Influenza,Nation,England,E92000001,influenza_healthcare_hospitalAdmissionRateByWeek,healthcare,default,all,all,2015,9,39,2015-09-21,0.0,False,0.0,2015,2014-15,39
